"","plot","SURVEY_YR","PERCENT_1","ALM_dmg","lat","lon","elev_m","plot_radius_m","slope_deg","aspect_deg","northness","OWNER"
"1","A218","2017","Light (4-10%)","Light",64.54661,-146.82771,264.5664,10,3.4,268,-0.034899497,"State"
"2","C138","2017","Moderate (11-29%)","Moderate",65.20908,-147.21226,306.0192,9.7,8,130,-0.64278761,"unknown"
"3","D012","2017","Severe (30-50%)","Severe",64.29331,-146.44898,253.5936,10,22.8,156,-0.913545458,"TVSF"
"4","D017","2017","Severe (30-50%)","Severe",64.27177,-146.18503,365.1504,10,12.4,202,-0.927183855,"TVSF"
"5","D022","2017","Very Severe (>50%)","Very severe",64.20643,-145.85593,351.4344,17,14,184,-0.99756405,"State"
"6","D953","2017","Moderate (11-29%)","Moderate",63.47646,-143.83333,480.6696,12,12.4,172,-0.990268069,"State"
"7","F107","2017","Moderate (11-29%)","Moderate",65.01387,-147.50263,359.3592,13,6.8,149,-0.857167301,"Private or Muni"
"8","F109","2017","Moderate (11-29%)","Moderate",65.05546,-147.37663,359.3592,12,8.5,122,-0.529919264,"State"
"9","H039","2017","Light (4-10%)","Light",64.39926,-146.88292,320.3448,10,5.7,172,-0.990268069,"Private or Muni"
"10","L135","2016","Very Severe (>50%)","Very severe",65.4746,-148.29583,231.9528,10,15.6,135,-0.707106781,"unknown"
"11","M002","2017","Moderate (11-29%)","Moderate",64.93764,-148.0893,336.804,7.3,8.5,135,-0.707106781,"Private or Muni"
"12","M129","2017","Severe (30-50%)","Severe",64.90838,-148.20571,228.9048,10,1.7,41,0.75470958,"UA"
"13","M317","2016","Severe (30-50%)","Severe",64.87877,-148.34483,227.076,10,5.1,206,-0.898794046,"unknown"
"14","N117","2017","Very Severe (>50%)","Very severe",64.59141,-149.03287,178.9176,10,17.2,173,-0.992546152,"TVSF"
"15","N124","2017","Very Severe (>50%)","Very severe",64.64441,-148.82215,171.6024,11.5,9.6,312,0.669130606,"TVSF"
"16","N130","2017","Severe (30-50%)","Severe",64.65214,-148.70134,267.0048,12.1,1.1,134,-0.69465837,"TVSF"
"17","N142","2017","Very Severe (>50%)","Very severe",64.62197,-149.04625,260.604,10,6.8,345,0.965925826,"unknown"
"18","N307","none","legacy","Light",64.4847,-149.07802,121.6152,10.3,0,0,0,"unknown"
"19","N424","2016","Light (4-10%)","Light",64.70219,-148.65499,282.5496,9.7,8,119,-0.48480962,"State"
"20","S244","2017","Severe (30-50%)","Severe",64.52528,-146.96903,301.4472,12,10.2,135,-0.707106781,"UA"
"21","S157","2017","Moderate (11-29%)","Moderate",63.68814,-144.48096,408.7368,13,0,0,0,"State"
"22","T105","2017","Very Severe (>50%)","Very severe",64.84778,-147.034,201.4728,10,18.8,102,-0.207911691,"unknown"
"23","BCEF","2004","Severe (30-50%)","Severe",64.742956,-148.316347,336.6,NA,0.4,0,0,"unknown"
"24","BD3.5","none","legacy","Moderate",65.064814,-150.404568,218.3,NA,3.3,108.5,-0.317304656,"unknown"
"25","CPCPRW","2017","Moderate (11-29%)","Moderate",65.184791,-147.388939,461,NA,7.6,162.7,-0.9547608,"unknown"
"26","F028","2009","legacy","Very severe",64.83533178,-148.085284,327.9,16.46,7.5,139.6,-0.761538308,"unknown"
"27","LVN137","none","Moderate (11-29%)","Moderate",65.197966,-147.240658,254.1,16.46,12.2,326.5,0.833885822,"unknown"
"28","MDMX","2017","Severe (30-50%)","Severe",64.9043,-148.3197,309.9,NA,7.1,123.7,-0.554844427,"unknown"
